id,number,name,description,travel_time
56772,8,Одеса Харків,"з 23/01/2018 по непарних, при двох непарних 29,31,3",11:08
57126,8,Одеса Харків,"28/12/2017-20/01/2018 по парних, при двох непарних 30,2",11:28
253,"60   (""ЧАЙКА"")",Одеса Харків,цілий рік щоденно;  відмінено 31/12/2017,13:44
57013,270,"Одеса Харків, Суми",22/12/2017,20:08
79,270,"Одеса Харків, Суми","27,29/12/2017, 1,5,7,9/01/2018",20:08
164,92,Одеса Костянтинівка,"10-30/12/2017, 1-30/01/2018 щоденно;  з 1/02/2018 по непарних, при двох непарних 27,29,1",16:12
55499,"798   (""ПІВДЕННИЙ ЕКСПРЕС"")",Одеса Вінниця,"цілий рік щоденно, крім вівторка",6:11
56775,142,Одеса Маріуполь,"з 10/12/2017 по парних, при двох непарних 28,30,2",20:22
54436,318  безпересадковий вагон,Одеса Дніпро,"11/12/2017-9/02/2018 по непарних, при двох непарних 29,31,3,5",17:46
57139,318  безпересадковий вагон,Одеса Дніпро,"11/02-27/05/2018 та з 3/09/2018 по непарних , при двох непарних 29,31,3,5",17:48
57137,"318   (""ТАВРІЯ"")","Одеса Запоріжжя,кривий Ріг","11/02-27/05/2018 та з 3/09/2018 по непарних, при двох непарних 29,31,3,5",20:31
203,"318   (""ТАВРІЯ"")","Одеса Запоріжжя,кривий Ріг","11/12/2017-9/02/2018 по непарних, при двох непарних 29,31,3,5",20:29
80,270,"Суми, Харків Одеса","28,30/12/2017, 2,6,8,10/01/2018",20:54
57014,270,"Суми, Харків Одеса",23/12/2017,20:54
56773,7,Харків Одеса,"27/12/2017-19/01/2018 по непарних, при двох непарних 29,1;   з 22/01/2018 по парних, при двох непарних 28,30,2",11:22
56988,"59   (""ЧАЙКА"")",Харків Одеса,11-24/12/2017 щоденно,13:27
362,"59   (""ЧАЙКА"")",Харків Одеса,"10/12, з 25/12/2017 щоденно;  відмінено 1/01/2018",13:24
56991,138,Лисичанськ Хмельницький,11-24/12/2017 щоденно,21:20
82,138,Лисичанськ Хмельницький,з 25/12/2017 щоденно,21:20
56999,138,Хмельницький Лисичанськ,11-24/12/2017 щоденно,20:25
56777,138,Хмельницький Лисичанськ,"цілий рік щоденно, крім 11-24/12/2017",20:25
150,179,Дніпро Київ,"23,25,28,29,30/12/2017, 1,2,8,9/01/2018",10:26
