id,name,region
2208092,Южноукраїнська,
2208420,Вознесенськ,
2208002,Одеса-Східна,
2210785,Таврійськ,
2210845,Пришиб,
2210713,Плодородна,
2210905,Нововесела,
2208528,Сірогози,
2208316,Велика Благовіщенка,
2208531,Братолюбівка,
2208532,Каховка,
2208527,Галаганівка,
2208514,Ясна Зоря,
2208515,Зелений Гай,"Миколаївська область, Миколаївський район"
2204700,Зелений Гай,
2218356,Зелений Гай,
2208516,Новокатиринівка,
2208472,Колосівка,
2208473,Березівка,
2208337,Пальміра,
2208338,Золотоноша-1,
2208345,Капітанівка,
2208346,Новомиргород,
2208347,Виска,
2208348,Капустине,
2208349,Адабаш,
2208405,Людмилівка,
2208406,Кавуни,
2208407,Трикратне,
2208396,Веселинове,
2300000,Кишинеу, 
2300590,Бендер 1,
2300597,Бендер-2,
2300610,Тираспіль,
2208304,Кучурган,
22231,Кучурган Кордон,
2214040,Слов'янськ,
2215276,Слов'янськ-Вітка,
2214047,Барвінкове,
2204430,Лозова,Харківська область
2210803,Павлоград 2,
2210760,Павлоград-1,
2100185,Пуховичі,
2100113,Бобруйськ,
2100080,Жлобин-Пас.,
2100100,Гомель-Пас.,
2101037,Терюха,
21224,Терюха Кордон,
2200038,Горностаївка,
2200256,Журавлівка,
2214278,Хлібодарівка,
2214279,Зачатівська,
2000345,Калуга 1,
2000350,Калуга-2,
2000370,Сухиничі-Головні,
2208397,Миколаєве,
2208447,Жеребкове,
2208422,Підгородна,"Миколаївська область, Первомайський район"
2208421,Бандурка,
2208394,Пантаївка,
2208386,Лікарівка,
2208385,Павлиш,
2208458,Веселий Кут,
2204424,Гракове, 
2204708,Шведська Могила,
2100025,Буда-Кошелівська,
2100290,Рогачєв,
2100060,Бихов,
2100225,Шклов,
2100170,Орша-Центр.,
2100050,Вітебськ Пас.,
2005189,Горушки Пост,
2004503,Невель 1,
2004550,Невель-2,
2068501,Невельск,
2054756,Невельская,
2004508,Новосокольники,
2004522,Локня,
2004570,Дно,
2004003,Санкт-Петербург-Вітеб., 
